job_title,required_skills,salary_range
AI Engineer,"Python, TensorFlow, PyTorch, Deep Learning, Neural Networks, NLP, Computer Vision, Reinforcement Learning, ML Algorithms, Cloud AI Services",10-28 LPA
Accountant,"Tally, QuickBooks, GST, TDS, Excel, Bookkeeping, Financial Statements, Payroll Processing, Bank Reconciliation, Accounting Principles",2-8 LPA
Aerospace Engineer,"Aerodynamics, Propulsion, Structural Analysis, Flight Mechanics, CFD, MATLAB, CATIA, ANSYS, Control Systems, Spacecraft Design",5-18 LPA
Architect,"AutoCAD, Revit, SketchUp, 3ds Max, Building Design, Construction Documentation, Project Management, Building Codes, Sustainable Design, Creativity",3-15 LPA
BBA Graduate,"Management Principles, Marketing Basics, Financial Accounting, Business Economics, Organizational Behavior, Business Communication, Excel, Presentation",2-7 LPA
BCA Graduate,"C Programming, C++, Java, Python, Database Management, Web Development, HTML, CSS, JavaScript, Networking Fundamentals, Operating Systems",2-8 LPA
Backend Developer,"Python, Java, C#, Node.js, PHP, Ruby, Go, SQL, MongoDB, PostgreSQL, MySQL, REST APIs, GraphQL, Microservices, Docker, Kubernetes, AWS",5-18 LPA
Bioinformatician,"Python, R, Perl, Genomics, Proteomics, Sequence Analysis, Biological Databases, Data Mining, Statistics, Machine Learning, NGS Data Analysis",5-16 LPA
Biomedical Engineer,"Medical Devices, Biomaterials, Biomechanics, Signal Processing, Imaging Systems, MATLAB, LabVIEW, Tissue Engineering, Regulatory Affairs",4-14 LPA
Biotechnologist,"Molecular Biology, Genetic Engineering, Bioinformatics, Microbiology, Biochemistry, Cell Culture, PCR, Chromatography, Spectroscopy, Lab Techniques",3-12 LPA
Blockchain Developer,"Blockchain Architecture, Smart Contracts, Solidity, Ethereum, Hyperledger, Cryptography, Web3.js, Distributed Systems, DApps, Security",8-30 LPA
Business Analyst,"Excel, SQL, Tableau, Power BI, Requirements Gathering, UML, BPMN, JIRA, Agile, Scrum, Data Analysis, Process Modeling, Stakeholder Management",5-15 LPA
Business Development Manager,"Market Research, Lead Generation, Client Relationship Management, Negotiation, Strategic Partnerships, Sales Strategy, CRM, Communication",8-24 LPA
Business Intelligence Analyst,"SQL, Tableau, Power BI, Excel, Data Warehousing, ETL, Data Modeling, Dashboard Design, KPI Tracking, Business Analysis",5-16 LPA
Chartered Accountant (CA),"Financial Accounting, Auditing, Taxation, Corporate Law, Financial Reporting, Cost Accounting, GST, TDS, ERP Systems, Excel",7-25 LPA
Chemical Engineer,"Process Design, Thermodynamics, Fluid Mechanics, Chemical Kinetics, Process Control, Aspen Plus, Plant Design, Safety Engineering, MATLAB",4-15 LPA
Civil Engineer,"AutoCAD, STAAD Pro, Structural Analysis, Surveying, Geotechnical Engineering, Transportation Engineering, Construction Management, Project Planning",3-12 LPA
Clinical Research Associate,"Clinical Trials, GCP Guidelines, Regulatory Compliance, Data Management, Patient Recruitment, Medical Terminology, Documentation, Monitoring",4-14 LPA
Cloud Architect,"AWS, Azure, GCP, IaaS, PaaS, SaaS, Docker, Kubernetes, Terraform, Cloud Security, Networking, Microservices, DevOps, Python, Java",12-35 LPA
Content Writer,"Creative Writing, SEO Writing, Blogging, Copywriting, Editing, Proofreading, Research, Grammar, Storytelling, WordPress, Social Media Writing",2-8 LPA
Corporate Lawyer,"Corporate Law, Contract Law, Mergers & Acquisitions, Legal Research, Drafting, Negotiation, Compliance, Intellectual Property, Client Counseling",8-28 LPA
Cybersecurity Analyst,"Network Security, Firewalls, IDS/IPS, Ethical Hacking, Penetration Testing, Risk Assessment, Security Audits, Cryptography, Python, SIEM Tools",6-20 LPA
Data Analyst,"Excel, SQL, Python, R, Tableau, Power BI, Statistics, Data Cleaning, Data Visualization, Pandas, NumPy, Matplotlib, Seaborn, Google Analytics",4-12 LPA
Data Engineer,"Python, SQL, ETL, Hadoop, Spark, Kafka, Data Warehousing, AWS/GCP/Azure, Database Design, Data Modeling, Airflow, Big Data Technologies",7-22 LPA
Data Scientist,"Python, R, SQL, Machine Learning, Deep Learning, TensorFlow, PyTorch, Pandas, NumPy, Statistics, Data Visualization, Big Data, Hadoop, Spark, NLP, Computer Vision",8-25 LPA
Database Administrator,"MySQL, PostgreSQL, Oracle, MongoDB, Database Design, Query Optimization, Backup Recovery, Performance Tuning, Security, SQL, NoSQL",5-16 LPA
