position,question_type,question
Data Scientist,Technical,Explain the difference between supervised and unsupervised learning with examples.
Data Scientist,Technical,What is the bias-variance tradeoff and how does it affect model performance?
Data Scientist,Technical,How do you handle missing values in a dataset? Explain different techniques.
Data Scientist,Technical,Explain the concept of overfitting and how to prevent it.
Data Scientist,Technical,What is the difference between bagging and boosting? Give examples of each.
Data Scientist,Technical,Explain how a Random Forest algorithm works.
Data Scientist,Technical,What is cross-validation and why is it important?
Data Scientist,Technical,Explain gradient descent and its variants.
Data Scientist,Technical,What is the difference between L1 and L2 regularization?
Data Scientist,Technical,How do you evaluate the performance of a classification model?
Data Scientist,Technical,"Explain precision, recall, F1-score, and ROC-AUC."
Data Scientist,Technical,What is feature engineering and why is it important?
Data Scientist,Technical,Explain the concept of p-value and its significance in statistics.
Data Scientist,Technical,How do you handle imbalanced datasets?
Data Scientist,Technical,What is the difference between correlation and causation?
Data Scientist,Technical,Explain the working of neural networks and backpropagation.
Data Scientist,Technical,What is the difference between SQL and NoSQL databases?
Data Scientist,Technical,Explain the concept of dimensionality reduction and PCA.
Data Scientist,Technical,How do you deploy machine learning models in production?
Data Scientist,Technical,What is A/B testing and how would you design one?
Data Analyst,Technical,What is the difference between structured and unstructured data?
Data Analyst,Technical,Explain the data cleaning process with examples.
Data Analyst,Technical,How do you handle outliers in a dataset?
Data Analyst,Technical,What is the difference between INNER JOIN and LEFT JOIN in SQL?
Data Analyst,Technical,Explain the use of GROUP BY and HAVING clauses in SQL.
Data Analyst,Technical,What is the difference between Excel and SQL for data analysis?
Data Analyst,Technical,How do you create a pivot table in Excel?
Data Analyst,Technical,Explain different types of charts and when to use them.
Data Analyst,Technical,What is the difference between Tableau and Power BI?
Data Analyst,Technical,How do you calculate moving averages?
Data Analyst,Technical,Explain the concept of correlation and covariance.
Data Analyst,Technical,"What is the difference between mean, median, and mode?"
Data Analyst,Technical,How do you handle date and time data in Python?
Data Analyst,Technical,Explain the use of Pandas library with examples.
Data Analyst,Technical,What is the difference between iloc and loc in Pandas?
Data Analyst,Technical,How do you merge dataframes in Pandas?
